Original Query,Processed Query,Title,ID,BM25 Score,SBERT Score
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Super Mario Advance 4: Super Mario Bros. 3-e - Ice Cubed,35707,0.0,0.4135364294052124
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Super Mario Advance 4: Super Mario Bros. 3-e - Swinging Bars of Doom,17128,0.0,0.41187673807144165
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Master of Illusion Express: Shuffle Games,30367,0.0,0.41015851497650146
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Luigi's Mansion Arcade,27356,0.0,0.4095260798931122
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Rhythm Tengoku: The Best Plus,28664,0.0,0.4051477015018463
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Art Style: AQUITE,29865,0.0,0.45820122957229614
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Game & Watch Mario's Cement Factory,15020,0.0,0.47368741035461426
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Super Mario Advance 4: Super Mario Bros. 3-e - The ol' Switcheroo,25819,0.0,0.5216121673583984
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,My Nintendo Picross: The Legend of Zelda Twilight Princess,4015,8.11036470873185,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Animal Rivals: Nintendo Switch Edition,13650,11.144045078511548,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,SplatooD,35822,8.15775838612589,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Tetra for Nintendo Switch: International Edition,35632,11.847399887512447,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Russian Anime,37751,12.951695491243294,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo Countdown Calendar,5750,12.85620378525964,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Animal,10518,12.75237317595508,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,AngerForce: Reloaded for Nintendo Switch,15903,13.822188416113113,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Minecraft: Nintendo Switch Edition,5756,13.822188416113113,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo World Championships 1990,7442,14.06607418901088,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo PowerFest '94,14604,14.379316060125364,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo Badge Arcade,6451,14.493949356659222,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo Land,1411,14.506147242418658,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,OlliOlli: Switch Stance,17466,14.774750072288251,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Double Switch,20262,11.702826658293668,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Cendrillon palikA,33143,15.933802624637492,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Anime Freak FX Vol. 3,15624,16.074239125962787,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,70's Robot Anime Geppy-X,20119,17.086272386618862,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Gunbird for Nintendo Switch,16163,18.134350894573746,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo Switch Sports,912,21.336131408000988,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo DSi Instrument Tuner,12048,24.516226058966595,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,1-2-Switch,2665,25.399058585046912,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Fuze4 Nintendo Switch,8443,27.08517747355882,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Bingo for Nintendo Switch,26294,27.134633166219338,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo 3DS Guide: Louvre,13212,12.656665810858424,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Switch 'N' Shoot,38451,12.053191512771065,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Game & Watch Flagman,9383,0.0,0.402557909488678
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Anime Freak FX Vol. 4,33604,16.074239125962787,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo Mini Classics: Octopus,39584,8.130370963701106,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,amiibo Tap: Nintendo's Greatest Bits,40839,11.683680970359788,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo Labo Variety Kit software,23036,11.527944786256233,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo World Cup,8063,8.48973292748598,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Mario Kart 8 Deluxe + Super Mario Party Double Pack,31711,8.555571702584873,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Heaventaker,12605,8.577545374940795,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Mighty Switch Force! 2,9396,8.621979821282663,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Anime Music Quiz,5150,8.667445073418284,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Tsunami 2265,40296,8.940248106382969,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Mighty Switch Force!,4936,9.064281763856824,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Anime Studio Story,13986,9.1235445783791,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Anime Studio Simulator,23151,9.183559705890138,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo Labo: Toy-Con 03 - Vehicle Kit,12453,9.457898841809575,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo Labo: Toy-Con 04 - VR Kit,18390,9.707262270456521,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo Labo Vehicle Kit Software,22425,11.527944786256233,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,New Super Mario Bros. U Deluxe,1199,10.100913371673409,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Vroom in the night sky,20398,10.182952241462528,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo Campus Challenge 1992,34881,10.250748422552359,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Dr Kawashima's Brain Training for Nintendo Switch,12404,10.407122338661464,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Dies irae: Amantes Amentes for Nintendo Switch,30881,10.601508218883128,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Nintendo Letter Box,26791,10.89323580638495,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Puzzle & Dragons Nintendo Switch Edition,18054,11.144045078511548,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Farming Simulator: Nintendo Switch Edition,17458,11.144045078511548,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,L.A. Noire for the Nintendo Switch,5533,11.170951594321012,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Switch Galaxy,26367,11.324565608520846,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Kill.Switch,14239,11.324565608520846,0.0
Anime-inspired ARPGs on Switch,anime inspired arpgs nintendo switch,Press-Switch,12488,11.48085092101824,0.0
